Date,Currency,Rate
2023-12-07,ILS,3.9861
2023-12-07,INR,89.79
2023-12-07,ISK,150.1
2023-12-07,JPY,156.18
2023-12-07,KRW,1421.02
2023-12-07,MXN,18.6551
2023-12-07,MYR,5.0344
2023-12-07,NOK,11.7535
2023-12-07,NZD,1.7554
2023-12-07,PHP,59.569
2023-12-07,PLN,4.3313
2023-12-07,RON,4.9658
2023-12-07,SEK,11.2557
2023-12-07,SGD,1.4436
2023-12-07,THB,37.925
2023-12-07,TRY,31.163
2023-12-07,USD,1.0771
2023-12-07,ZAR,20.206
2023-12-08,AUD,1.6327
2023-12-08,BGN,1.9558
2023-12-08,BRL,5.2933
2023-12-08,CAD,1.4627
2023-12-08,CHF,0.9438
2023-12-08,CNY,7.7179
2023-12-08,CZK,24.354
2023-12-08,DKK,7.4558
2023-12-08,GBP,0.8569
2023-12-08,HKD,8.419
2023-12-08,HUF,381.9
2023-12-08,IDR,16719
2023-12-08,ILS,3.9982
2023-12-08,INR,89.89
2023-12-08,ISK,150.1
2023-12-08,JPY,155.53
2023-12-08,KRW,1412.83
2023-12-08,MXN,18.7923
2023-12-08,MYR,5.0269
2023-12-08,NOK,11.727
2023-12-08,NZD,1.7532
2023-12-08,PHP,59.758
2023-12-08,PLN,4.3318
2023-12-08,RON,4.9683
2023-12-08,SEK,11.238
2023-12-08,SGD,1.4426
2023-12-08,THB,38.097
2023-12-08,TRY,31.234
2023-12-08,USD,1.0777
2023-12-08,ZAR,20.366
2023-12-11,AUD,1.642
2023-12-11,BGN,1.9558
2023-12-11,BRL,5.3169
2023-12-11,CAD,1.4609
2023-12-11,CHF,0.9478
2023-12-11,CNY,7.7206
2023-12-11,CZK,24.367
2023-12-11,DKK,7.4563
2023-12-11,GBP,0.8558
2023-12-11,HKD,8.3971
2023-12-11,HUF,381.9
2023-12-11,IDR,16858
2023-12-11,ILS,3.9977
2023-12-11,INR,89.68
2023-12-11,ISK,150.7
2023-12-11,JPY,157.54
2023-12-11,KRW,1420.71
2023-12-11,MXN,18.7319
2023-12-11,MYR,5.037
2023-12-11,NOK,11.795
2023-12-11,NZD,1.7608
2023-12-11,PHP,59.787
2023-12-11,PLN,4.3303
2023-12-11,RON,4.9707
2023-12-11,SEK,11.297
2023-12-11,SGD,1.4454
2023-12-11,THB,38.402
2023-12-11,TRY,31.187
2023-12-11,USD,1.0757
2023-12-11,ZAR,20.544
2023-12-12,AUD,1.6398
2023-12-12,BGN,1.9558
2023-12-12,BRL,5.3327
2023-12-12,CAD,1.4656
2023-12-12,CHF,0.9443
2023-12-12,CNY,7.7447
2023-12-12,CZK,24.42
2023-12-12,DKK,7.4569
2023-12-12,GBP,0.85928
2023-12-12,HKD,8.4377
2023-12-12,HUF,381.8
2023-12-12,IDR,16835
2023-12-12,ILS,4.0044
2023-12-12,INR,90.08
2023-12-12,ISK,151.1
2023-12-12,JPY,156.84
2023-12-12,KRW,1415.21
2023-12-12,MXN,18.7419
2023-12-12,MYR,5.0611
2023-12-12,NOK,11.778
2023-12-12,NZD,1.7573
2023-12-12,PHP,60.103
2023-12-12,PLN,4.3393
2023-12-12,RON,4.9732
2023-12-12,SEK,11.2815
2023-12-12,SGD,1.4479
2023-12-12,THB,38.543
2023-12-12,TRY,31.376
2023-12-12,USD,1.0804
2023-12-12,ZAR,20.43
